start_trip_id,end_trip_id,start_route_id,end_route_id,start_agency_id,end_agency_id,start_route_short_name,end_route_short_name,start_route_name,end_route_name,start_trip_headsign,end_trip_headsign,start_stop_id,end_stop_id,start_stop_sequence,end_stop_sequence,start_stop_lat,start_stop_lon,end_stop_lat,end_stop_lon,walking_distance_m,walking_path_coords
vDSOGaI-kcPGIccVzFiRw-07:00:00,iHxp5k-_O7q56ncOSt9aW-07:00:00,djf-0ENVceYNg5x6O7HGq,p2DY4x4NaqXRC1gG9cwiY,Bus,P_O_14,Bus 409,Microbus ,El-Nasreya El-Qadema - Train Station (El-Shohada Square),Amreyya - Train Station (El-Shohada Square),Train Station (El-Shohada Square),Amreyya,359,359,20,1,31.193334,29.904704,31.193334,29.904704,0.0,"[[31.1933338, 29.904704]]"
vDSOGaI-kcPGIccVzFiRw-07:00:00,nilFxlyYPYNiAZui3Rdkw-07:00:00,djf-0ENVceYNg5x6O7HGq,pIaHBI4j1KA7mIDUenoKC,Bus,Bus,Bus 409,Bus 480,El-Nasreya El-Qadema - Train Station (El-Shohada Square),Abd El-Qader Al-Gadida - Train Station (El-Shohada Square),Train Station (El-Shohada Square),Train Station (El-Shohada Square),119,394,4,1,31.00557668952639,29.80403897122041,31.07320868422693,29.851881293672548,0.0,"[[31.1344038, 29.8690676]]"
vDSOGaI-kcPGIccVzFiRw-07:00:00,qGoxkcgxJLIYDgVV9cYQ6-07:00:00,djf-0ENVceYNg5x6O7HGq,ujMXATExhhRj9qgxcopKv,Bus,P_O_14,Bus 409,Microbus ,El-Nasreya El-Qadema - Train Station (El-Shohada Square),Street 45 - Train Station (El-Shohada Square),Train Station (El-Shohada Square),Street 45,359,362,20,1,31.193334,29.904704,31.192164,29.905043,174.16282116767522,"[[31.1933338, 29.904704], [31.1932695, 29.9045303], [31.1932045, 29.9047485], [31.1923982, 29.9051808], [31.1921638, 29.9050427]]"
vDSOGaI-kcPGIccVzFiRw-07:00:00,r6ovFR4tIxNGXdkL4UeVE-07:00:00,djf-0ENVceYNg5x6O7HGq,EYuJpRuohnv2M2djd0oRb,Bus,P_O_14,Bus 409,Microbus ,El-Nasreya El-Qadema - Train Station (El-Shohada Square),Abis 8 - Train Station (El-Shohada Square),Train Station (El-Shohada Square),Abis 8,359,362,20,1,31.193334,29.904704,31.192164,29.905043,174.16282116767522,"[[31.1933338, 29.904704], [31.1932695, 29.9045303], [31.1932045, 29.9047485], [31.1923982, 29.9051808], [31.1921638, 29.9050427]]"
vDSOGaI-kcPGIccVzFiRw-07:00:00,xb8d2kdOwmERjQmCcjbyQ-07:00:00,djf-0ENVceYNg5x6O7HGq,z2W-2EVP76_5pF_4R0HbR,Bus,P_O_14,Bus 409,Microbus ,El-Nasreya El-Qadema - Train Station (El-Shohada Square),Al-Bitash - Train Station (El-Shohada Square),Train Station (El-Shohada Square),Al-Bitash,359,360,20,1,31.193334,29.904704,31.19207011058364,29.90277134650438,349.74068937636184,"[[31.1933338, 29.904704], [31.1932695, 29.9045303], [31.1931796, 29.9040768], [31.1933704, 29.9039718], [31.192935, 29.9030263], [31.1926032, 29.9031837], [31.1923037, 29.9029445], [31.1922365, 29.9028968], [31.1920633, 29.902774]]"
vDSOGaI-kcPGIccVzFiRw-07:00:00,xxgi7P3OGoDShZ0IAQUyL-07:00:00,djf-0ENVceYNg5x6O7HGq,dzTiXNOiyKbSpiehbFk-a,Bus,P_O_14,Bus 409,Microbus ,El-Nasreya El-Qadema - Train Station (El-Shohada Square),Hanuvil - Train Station (El-Shohada Square),Train Station (El-Shohada Square),Hanuvil,359,360,20,1,31.193334,29.904704,31.19207011058364,29.90277134650438,349.74068937636184,"[[31.1933338, 29.904704], [31.1932695, 29.9045303], [31.1931796, 29.9040768], [31.1933704, 29.9039718], [31.192935, 29.9030263], [31.1926032, 29.9031837], [31.1923037, 29.9029445], [31.1922365, 29.9028968], [31.1920633, 29.902774]]"
vDSOGaI-kcPGIccVzFiRw-07:00:00,zu8jTrRbozlA63gSOD4cA-07:00:00,djf-0ENVceYNg5x6O7HGq,E_oc6kDbFdlvVaZssBQex,Bus,P_O_14,Bus 409,Microbus ,El-Nasreya El-Qadema - Train Station (El-Shohada Square),Bahary (Ras Al-Tin) - Kabo,Train Station (El-Shohada Square),Bahary (Ras Al-Tin),405,405,16,1,31.19292385155902,29.923315685384928,31.19292385155902,29.923315685384928,0.0,"[[31.1930059, 29.9232447]]"
025LCvbNrkhPcZFND6SfE-07:00:00,vDSOGaI-kcPGIccVzFiRw-07:00:00,BDGXXpou9Eb38xEVTNUs2,djf-0ENVceYNg5x6O7HGq,P_O_14,Bus,Microbus ,Bus 409,Amreyya - Kilo 21,El-Nasreya El-Qadema - Train Station (El-Shohada Square),Amreyya,Train Station (El-Shohada Square),6,109,2,1,31.0713418,29.7615553,30.99854458955898,29.787752084822152,0.0,"[[31.1438236, 29.8372662]]"
3JTmhQmnxSU9cPkJSaSlE-07:00:00,vDSOGaI-kcPGIccVzFiRw-07:00:00,LrIznn0Nk3YYvE6SV4NT_,djf-0ENVceYNg5x6O7HGq,Bus,Bus,Bus 739,Bus 409,Asafra - Train Station (El-Shohada Square),El-Nasreya El-Qadema - Train Station (El-Shohada Square),Train Station (El-Shohada Square),Train Station (El-Shohada Square),402,402,29,19,31.196256983935434,29.91283044098625,31.196256983935434,29.91283044098625,0.0,"[[31.196281, 29.9129041]]"
4B_Jpa3Jm_xxCkTcY6IDN-07:00:00,vDSOGaI-kcPGIccVzFiRw-07:00:00,gboAfb13A28YhAJkt-Pkx,djf-0ENVceYNg5x6O7HGq,Bus,Bus,Bus 423,Bus 409,Kilo 21 - Train Station (El-Shohada Square),El-Nasreya El-Qadema - Train Station (El-Shohada Square),Kilo 21,Train Station (El-Shohada Square),22,109,24,1,31.08429921233613,29.74414915782546,30.99854458955898,29.787752084822152,0.0,"[[31.1438236, 29.8372662]]"
