route_id,agency_id,route_long_name,route_long_name_ar,route_short_name,route_type,continuous_pickup,continuous_drop_off,route_short_name_ar
BKzwbCqAolUfyoXfpTwIC,P_O_14,El-Sa'ah (Clock Square) - Sidi Gabir,الساعة (ميدان الساعة) - سيدي جابر,Microbus ,3,1,1,ميكروباص
6Jzbm71jwnmQuuO9P7ngg,P_O_14,Al-Seyouf (Falaky) - Hanuvil,السيوف (فلكي) - الهانوفيل,Microbus ,3,1,1,ميكروباص
KNOT7t80YXwsfYupjUiTk,P_O_14,El-Mawqaf El-Geded - Hanuvil,الموقف الجديد - الهانوفيل,Microbus ,3,1,1,ميكروباص
dzTiXNOiyKbSpiehbFk-a,P_O_14,Hanuvil - Train Station (El-Shohada Square),الهانوفيل - محطة مصر (ميدان الشهداء),Microbus ,3,1,1,ميكروباص
8CWoTtootKoeWNjoE5oOP,P_O_14,Hanuvil - Sidi Gabir,الهانوفيل - سيدي جابر,Microbus ,3,1,1,ميكروباص
QcjXCusjL37XD0vtFPM_z,P_O_14,Al-Seyouf (Falaky) - Train Station (El-Shohada Square),السيوف (فلكي) - محطة مصر (ميدان الشهداء),Microbus ,3,1,1,ميكروباص
EvMcmidrqDryWEcBEqdU2,P_O_14,El-Mawqaf El-Geded - Train Station (El-Shohada Square),الموقف الجديد - محطة مصر (ميدان الشهداء),Microbus ,3,1,1,ميكروباص
EqpMMSAPpyyeIs0OPJu7A,P_O_14,Asafra - Train Station (El-Shohada Square),العصافرة - محطة مصر (ميدان الشهداء),Microbus ,3,1,1,ميكروباص
wk7z0bHFULyZrQtvEvO1X,P_O_14,Bahary (Ras Al-Tin) - Train Station (El-Shohada Square),بحري (رأس التين) - محطة مصر (ميدان الشهداء),Microbus ,3,1,1,ميكروباص
d1tk5YD606wPnGF4CLm4i,P_O_14,El-Mawqaf El-Geded - Sidi Gabir,الموقف الجديد - سيدي جابر,Microbus ,3,1,1,ميكروباص
SqToUMEw-z1wSe52v0JGh,P_O_14,Abu Qir - Train Station (El-Shohada Square),أبو قير - محطة مصر (ميدان الشهداء),Microbus ,3,1,1,ميكروباص
p2DY4x4NaqXRC1gG9cwiY,P_O_14,Amreyya - Train Station (El-Shohada Square),العامرية - محطة مصر (ميدان الشهداء),Microbus ,3,1,1,ميكروباص
w5lnA7aOkl9RbW6RzoEdG,P_O_14,Hadra - Train Station (El-Shohada Square),الحضرة - محطة مصر (ميدان الشهداء),Microbus ,3,1,1,ميكروباص
0fV-oHdZjqIXEVAq-5E7b,P_O_14,Kilo 21 - Train Station (El-Shohada Square),الكيلو ٢١ - محطة مصر (ميدان الشهداء),Microbus ,3,1,1,ميكروباص
ujMXATExhhRj9qgxcopKv,P_O_14,Street 45 - Train Station (El-Shohada Square),شارع ٤٥ - محطة مصر (ميدان الشهداء),Microbus ,3,1,1,ميكروباص
z2W-2EVP76_5pF_4R0HbR,P_O_14,Al-Bitash - Train Station (El-Shohada Square),البيطاش - محطة مصر (ميدان الشهداء),Microbus ,3,1,1,ميكروباص
Rx10-oSKyoIJDvbVd1Py3,P_O_14,Abu Youssef - Train Station (El-Shohada Square),أبو يوسف - محطة مصر (ميدان الشهداء),Microbus ,3,1,1,ميكروباص
q-9QC-QKVmhqbVh9htKhg,P_O_14,Al-Seyouf (Falaky) - Victoria station,السيوف (فلكي) - محطة فيكتوريا,Microbus ,3,1,1,ميكروباص
nd53PomhCqmjY7ykLQy83,P_O_14,El-Mandara - El-Mawqaf El-Geded,المندرة - الموقف الجديد,Microbus ,3,1,1,ميكروباص
bAytab6a3g8pFmPeUQC1L,P_O_14,Bahary (Ras Al-Tin) - El-Mawqaf El-Geded,بحري (رأس التين) - الموقف الجديد,Microbus ,3,1,1,ميكروباص
I4AY9d0_JCb661dki5jy7,P_O_14,Amreyya - El-Mawqaf El-Geded,العامرية - الموقف الجديد,Microbus ,3,1,1,ميكروباص
lQGthxPF7d3FXnmoZFGLV,P_O_14,El-Mawqaf El-Geded - Kilo 21,الموقف الجديد - الكيلو ٢١,Microbus ,3,1,1,ميكروباص
E_oc6kDbFdlvVaZssBQex,P_O_14,Bahary (Ras Al-Tin) - Kabo,بحري (رأس التين) - الكابو,Microbus ,3,1,1,ميكروباص
XxUPXIlZHVjWT_a7YqhHy,P_O_14,Al-Bitash - El-Mawqaf El-Geded,البيطاش - الموقف الجديد,Microbus ,3,1,1,ميكروباص
NwvVKB38LtB63C0PtEo-i,P_O_14,El-Mawqaf El-Geded - Shatibi,الموقف الجديد - الشاطبي,Microbus ,3,1,1,ميكروباص
